EHF
Parameter S1 S1_conf ST ST_conf
area 0.024162 0.013319 0.056027 0.007223
ratio -0.001695 0.003298 0.003982 0.000833
zone_height 0.001237 0.003633 0.003890 0.000419
abs 0.000875 0.006263 0.011501 0.003700
shading -0.000071 0.000213 0.000023 0.000004
azimuth 0.000355 0.006159 0.011322 0.001352
wall_u 0.002819 0.005268 0.013342 0.002497
wall_ct -0.001753 0.002859 0.003712 0.001511
wwr 0.009226 0.009921 0.035967 0.004450
open_fac 0.098738 0.024855 0.206643 0.023416
people 0.000000 0.000000 0.000000 0.000000
thermal_loads 0.441100 0.057898 0.655626 0.057156
glass 0.002803 0.004901 0.007502 0.001246
floor_height 0.000000 0.000000 0.000000 0.000000
bldg_ratio 0.000027 0.000438 0.000075 0.000015
room_type 0.028866 0.018908 0.113530 0.013325
ground 0.083437 0.026697 0.234105 0.032005
roof 0.001267 0.010106 0.041317 0.007863

Parameter_1 Parameter_2 S2 S2_conf
ratio people -0.002667 0.007564
ratio thermal_loads -0.002535 0.007460
ratio glass -0.002647 0.007565
ratio floor_height -0.002667 0.007564
ratio bldg_ratio -0.002663 0.007557
ratio room_type -0.001973 0.007238
ratio ground -0.002662 0.007548
ratio roof -0.002666 0.007564
zone_height abs 0.000136 0.001398
zone_height shading 0.000134 0.001397
zone_height azimuth 0.000072 0.001290
zone_height wall_u 0.000133 0.001397
zone_height wall_ct 0.000134 0.001397
zone_height wwr 0.000165 0.001360
zone_height open_fac 0.000158 0.001816
zone_height people 0.000134 0.001397
zone_height thermal_loads 0.000095 0.001373
zone_height glass 0.000136 0.001398
zone_height floor_height 0.000134 0.001397
zone_height bldg_ratio 0.000134 0.001395
zone_height room_type -0.000131 0.001530
zone_height ground 0.000116 0.001394
zone_height roof 0.000121 0.001399
abs shading -0.000034 0.000443
abs azimuth -0.000028 0.000447
abs wall_u -0.000035 0.000443
abs wall_ct -0.000035 0.000443
abs wwr -0.000081 0.000442
abs open_fac -0.000027 0.000507
abs people -0.000034 0.000443
abs thermal_loads -0.000021 0.000432
abs glass -0.000037 0.000444
abs floor_height -0.000034 0.000443
abs bldg_ratio -0.000033 0.000443
abs room_type -0.000241 0.000494
abs ground -0.000033 0.000443
abs roof -0.000036 0.000444
shading azimuth 0.000032 0.000031
shading wall_u 0.000033 0.000033
shading wall_ct 0.000033 0.000033
shading wwr 0.000036 0.000035
shading open_fac 0.000057 0.000051
shading people 0.000033 0.000033
shading thermal_loads 0.000031 0.000031
shading glass 0.000033 0.000033
shading floor_height 0.000033 0.000033
shading bldg_ratio 0.000033 0.000032
shading room_type 0.000021 0.000032
shading ground 0.000033 0.000032
shading roof 0.000033 0.000033
azimuth wall_u 0.003716 0.015236
azimuth wall_ct 0.003691 0.015235
azimuth wwr 0.002366 0.015553
azimuth open_fac 0.012524 0.020381
azimuth people 0.003701 0.015236
azimuth thermal_loads 0.003505 0.015012
azimuth glass 0.003724 0.015245
azimuth floor_height 0.003701 0.015236
azimuth bldg_ratio 0.003658 0.015246
azimuth room_type 0.013088 0.015883
azimuth ground 0.003610 0.015138
azimuth roof 0.003666 0.015234
wall_u wall_ct 0.000053 0.000409
wall_u wwr 0.000245 0.000377
wall_u open_fac 0.000295 0.000482
wall_u people 0.000053 0.000409
wall_u thermal_loads 0.000047 0.000399
wall_u glass 0.000054 0.000409
wall_u floor_height 0.000053 0.000409
wall_u bldg_ratio 0.000055 0.000409
wall_u room_type -0.000116 0.000315
wall_u ground 0.000051 0.000410
wall_u roof 0.000053 0.000409
wall_ct wwr -0.000091 0.000170
wall_ct open_fac -0.000160 0.000249
wall_ct people -0.000101 0.000177
wall_ct thermal_loads -0.000092 0.000166
wall_ct glass -0.000101 0.000177
wall_ct floor_height -0.000101 0.000177
wall_ct bldg_ratio -0.000101 0.000177
wall_ct room_type -0.000116 0.000162
wall_ct ground -0.000101 0.000177
wall_ct roof -0.000102 0.000177
wwr open_fac 0.051572 0.048478
wwr people 0.000088 0.037634
wwr thermal_loads 0.002235 0.037725
wwr glass 0.000095 0.037620
wwr floor_height 0.000088 0.037634
wwr bldg_ratio 0.000016 0.037715
wwr room_type 0.024845 0.041464
wwr ground -0.000420 0.037644
wwr roof 0.000047 0.037636
open_fac people -0.020323 0.071785
open_fac thermal_loads -0.018256 0.073291
open_fac glass -0.020313 0.071794
open_fac floor_height -0.020323 0.071785
open_fac bldg_ratio -0.020670 0.071642
open_fac room_type 0.183008 0.101781
open_fac ground -0.019578 0.071951
open_fac roof -0.019574 0.072003
people thermal_loads -0.000000 0.000000
people glass -0.000000 0.000000
people floor_height 0.000000 0.000000
people bldg_ratio -0.000000 0.000000
people room_type 0.000000 0.000000
people ground -0.000000 0.000000
people roof 0.000000 0.000000
thermal_loads glass -0.000568 0.007094
thermal_loads floor_height -0.000554 0.007084
thermal_loads bldg_ratio -0.000586 0.007097
thermal_loads room_type -0.001388 0.007460
thermal_loads ground -0.000512 0.007063
thermal_loads roof -0.000544 0.007071
glass floor_height 0.000331 0.000535
glass bldg_ratio 0.000331 0.000534
glass room_type 0.000298 0.000572
glass ground 0.000327 0.000541
glass roof 0.000334 0.000539
floor_height bldg_ratio -0.000000 0.000000
floor_height room_type 0.000000 0.000000
floor_height ground -0.000000 0.000000
floor_height roof 0.000000 0.000000
bldg_ratio room_type -0.000345 0.000739
bldg_ratio ground -0.000070 0.000636
bldg_ratio roof -0.000063 0.000639
room_type ground 0.023131 0.051005
room_type roof 0.022990 0.050885
ground roof -0.000199 0.001998
