Nº,Building,Location,Address,Telephone,Contacts,Year of construction,Lease  cost (R$/m².month),Azimuth angle of long axis of building,Solar orientation (long axis),Shape,Ratio between width and length,Total floor area (m²),Office unit area (m²),Number of floors,Exterior wall color,Exterior wall absorptance,Roof color,Glazing type,Exterior solar shading devices,Room depth (m),Ceiling height (m),Plenum height (m),Spandrel height (m),Exterior wall,WWR (%),Exterior solar shading devices dimension,Natural ventilation strategy (cross or single sided),Window frame type,Window opening effective area (%),Window geometry (length x height) (m) ,Start height of opening (m),Control system,System type,Location
11,Pamplona Personal Office Build.,Paulista,"R. Pamplona, 1326",(11) 2639-2613,,1997,46,40,NW-SE,Rectangular,0.2,183,91.5,11,Light beige/Beige tiles,0.3,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
12,Bela Vista Medical,Paulista,"R. Barata Ribeiro, 176","Marcia (11) 3078-5797
Dalila (51) 3311-6292
Gerbin Júnior (61) 3383-7630",,2015,80,73,N-S,Rectangular,0.5,180,49.5,10,Gray,0.7,Gray,Clear glass,Balcony,,,,,,,,single sided without Balcony cross with Balcony (adjacent facades),Sliding/ Top hung,,,,,Split/ Self contained window unit,
13,Maestro Offices,Paulista,"Rua Maestro Cardim, 1293","Sebastião gerente predial/ Patricia recepção (11) 3262-3514
Daniel corretor Besp (11) 8221-3765
Claudia Besp imoveis (11) 3627-3200
Sergio corretor (11) 99710-1195",,2010,60,175,E-W,Rectangular,0.5,215,57,13,Beige,0.4,White,Laminated glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,?,
14,Eliza Chahin,Paulista,"Al. Santos, 2480",,,2004,64,135,NE-SW,Rectangular,0.9,110,55,11,Gray,0.7,Gray,Clear glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,Split/ Self contained window unit,
15,Chalet Office Center,Paulista,"Al. Santos, 2395",,,2001,60,133,NE-SW,Rectangular,0.3,92,46,12,Beige,0.4,Gray,Laminated glass,No,,,,,,,,cross (adjacent facades),Top hung,,,,,?,
16,Clínica Galeno,Paulista,"Al. Jaú, 1767",,,2000,-,135,NE-SW,Rectangular,0.4,160,80,9,Beige,0.4,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
17,Biscayne Tower,Bela Vista,"Rua Maestro Cardim, 1251",,,1999,64,176,E-W,Rectangular,0.6,215,43,12,Beige,0.4,Gray,Laminated glass,HVAC housing unit,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
18,Arte e Ciência,Paulista,"R. Barata Ribeiro, 398",,,1996,-,75,N-S,Rectangular,0.2,84,42,10,Gray,0.7,White,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
19,Centro Empresarial Sumarezinho,Faria Lima/ Itaim Bibi,"R. Paulistânia, 242",,,2016,-,151,NE-SW,Rectangular,0.8,125,35.2,8,Blue tiles,0.7,Gray,Clear glass,Balcony,,,,,,,,cross with Balcony – Adjacent),Sliding,,,,,Split/ Self contained window unit,
20,Boulevard Office,Cursino,"Avenida do Cursino, 2400",,,2016,43,176,E-W,Losango,0.6,430,42,3,White/Beige,0.2/ 0.4,Gray,Laminated glass,Balcony,,,,,,,,single sided,Top hung,,,,,?,
21,Palm Offices,Alto de Pinheiros/ Perdizes,"Rua Cayowaá , 759",Livia (11) 3581-0000,,2016,58,34,NW-SE,Rectangular,0.4,195,97.5,10,Beige/Ceramic tiles,0.4/ 0.8,Gray,Clear glass,Balcony,,,,,,,,single sided without Balcony cross with Balcony (adjacent facades),Sliding/ Top hung,,,,,Split/ Self contained window unit,
22,Ondas,Zona Leste,"Rua Apucarana , 428",,,2016,32,168,E-W,Rectangular,0.3,85,85,8,Gray/Ceramic,0.7,Gray,Laminated glass,Balcony,,,,,,,,,Top hung,,,,,?,
23,AF 377,Moema/ Vila Mariana,"R. Afonso De Freitas, 377","Sergio (consultor) (11) 5054-9238
Cristine Lulia (11) 5054-9234
Carol (11) 3805-8003
Eliane Alves de Oliveira (11) 96354-1594",,2015,76,66,NW-SE,Rectangular,0.5,210,38.9,9,Light beige,0.3,Gray,Laminated glass,Balcony,,,,,,,,,Sliding,,,,,Split/ Self contained window unit,
24,Perdizes Prime Office,Alto de Pinheiros/ Perdizes,"Rua Cotoxó, 970",,,2013,61,33,NW-SE,Rectangular,0.3,132,27.5,5,Yellow/Brown,0.3/ 0.7,White/Beige,Clear glass,Balcony,,,,,,,,,Sliding,,,,,?,
25,Oscar Freire Offices Boutique,Paulista," Rua Oscar Freire , 1431","Patricia  (11) 3191-2041
Lilian (11) 3191-2014 / (11) 3191-2094
Goldenbergue 11-99786-0091
Seker (11) 2592-5895 / 259
Maria Valentina (11) 3289-2738",,2013,80,150,NE-SW,Rectangular,0.4,385,64.2,6,Beige/Light Brown /Dark Brown,0.4/ 0.7,Gray,Laminated glass,Balcony,,,,,,,,,Top hung,,,,,?,
26,Brooklin Office,Berrini,"Av.Santo Amaro, 3432","Hélio (11) 2609-8904
Antônio Carlos Haddad (11) 5575-7666",,2013,52,133,NE-SW,Rectangular,0.9,212,30.8,10,Beige/ Ceramic,0.4/ 0.8,White,Laminated glass,Balcony,,,,,,,,,Sliding/ Top hung,,,,,?,
27,Centro Empresarial Paulistânia,Faria Lima/ Itaim Bibi,"R. Paulistânia, 90","Dolores de Carvalho (11) 95299-0587
Delio (11) 98312-9528",,2013,80,149,NE-SW,Rectangular,0.2,170,63.8,8,Beige/ Blue tiles,0.4/ 0.7,Gray,Clear glass,Balcony,,,,,,,,,Sliding/ Top hung,,,,,Split/ Self contained window unit,
28,"Blue Tower, 199",Barra Funda,"Rua Joaquim Manuel de Macedo , 199",,,2013,27,12,E-W,Rectangular,0.6,144,48,10,Blue/ Dark beige,0.7,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
29,Oscar Freire Offices Boutique,Paulista,"Rua Oscar Freire, 1431","Patricia   Representante AK Realty (11) 3191-2041
Lilian Marques Consultora Imobiliária (11) 3191-2014 / (11) 3191-2094
Goldenbergue corretor 11-99786-0091
Seker (11) 2592-5895 / 259
Maria Valentina (11) 3289-2738",,2013,80,151,NE-SW,Rectangular,0.5,385,64.2,6,Beige/ Ceramic,0.4/ 0.8,Gray,Clear glass,Balcony,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
30,Centro Empresarial Jardim Paulista,Moema/ Vila Mariana,"Rua Manuel da Nóbrega, 456",Gustavo Mujalli (11) 5505-8630,,2013,63,42,NW-SE,Rectangular,0.4,160,32,11,Yellow,0.3/ 0.4,Gray,Clear glass,Balcony,,,,,,,,,Sliding/ Top hung,,,,,?,
31,Centro Empresarial Brigadeiro,Moema/ Vila Mariana,"Av. Brigadeiro Luís Antônio, 2909","Caroline corretor (11) 5054-7600
Herielson (11) 3052-2400",,2012,51,41,NW-SE,Rectangular,0.3,170,34,12,White,0.2,Gray,Clear glass,Balcony,,,,,,,,,Sliding,,,,,Split/ Self contained window unit,
32,Centro Executivo Cônego,Faria Lima/ Itaim Bibi,"R. Cônego Eugênio Leite, 933",,,2011,64,148,NE-SW,Rectangular,0.9,180,36,13,Beige,0.4,Gray,Clear glass,No,,,,,,,,,Sliding,,,,,Split/ Self contained window unit,
33,Bacelar Work Center,Moema/ Vila Mariana,"R. Doutor Bacelar, 386",,,2010,59,4,E-W,Rectangular,0.3,174,43.5,14,Dark yellow,0.4,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
34,Lucas,Paulista,"Rua Maestro Cardim, 343",,,2005,56,14,N-S,Rectangular,0.8,150,75,8,Beige,0.4,Gray/ White,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
35,Itaim Office Building,Faria Lima/ Itaim Bibi,"R. Bandeira Paulista, 662",,,2003,71,165,E-W,Rectangular,0.8,210,35,12,Light beige,0.3,White,Laminated glass,Balcony,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
36,Lapa Trade Center,Barra Funda,"R. Clélia, 2145",,,2002,38,92,N-S,Rectangular,0.8,192,32,13,Dark gray,0.8,Gray,Clear glass,No,,,,,,,,,Pivoted,,,,,Split/ Self contained window unit,
37,Diamond Office Tower,Faria Lima/ Itaim Bibi,"R. Joaquim Antunes, 727",,,2002,57,146,NE-SW,Rectangular,0.3,220,36.7,12,Gray/ Ceramic,0.8,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
38,Baker Square,Santo Amaro,"Rua Laplace, 74","Juliana (recepção) 5042-3011
Carlos(Proprietário) 9983-9644",,2002,48,129,NE-SW,Rectangular,0.8,165,82.5,12,Beige,0.4,Gray,Clear glass,HVAC housing unit,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
39,Chicago,Berrini,"Av. Portugal, 1629",,,2001,52,127,NE-SW,Rectangular,0.5,168,45.8,12,Dark yellow,0.4,Gray,Clear glass,No,,,,,,,,,Pivoted,,,,,Split/ Self contained window unit,
40,Grande Avenida - Pinheiros,Faria Lima/ Itaim Bibi,"Av. Nove de Julho, 5519",,,2001,-,149,NE-SW,Rectangular,0.4,137,68.5,11,Light beige,0.3,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
41,Office Tower Station ,Moema/ Vila Mariana,"Rua Tenente Gomes Ribeiro , 57",,,2001,50,179,E-W,Rectangular,0.6,216,36,11,alucobond Gray,0.2,,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
42,São Benedito Office Tower,Santo Amaro,"Rua São Benedito, 509","Jorge (zelador) 5546-5783
Sandra 99367-4222
Sandra  5507-2404",,2001,40,30,NW-SE,Rectangular,0.9,234,39,11,Dark gray,0.8,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,?,
43,Pórtico Offices,Alto de Pinheiros/ Perdizes,"R. Min. de Godói, 478","Luiz (zelador) (11) 3801-0114
Noé (11) 3862-2964",,2000,37,0,E-W,Rectangular,0.6,128,32,10,Dark yellow,0.4,Red escuro,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
44,Marchetti Place,Barra Funda,"R. Albion, 229",,,2000,35,174,E-W,Rectangular,0.8,240,40,13,Beige,0.4,Gray,Laminated glass,No,,,,,,,,,Pivoted,,,,,?,
45,Castelhana Offices,Tatuapé," Rua Antônio de Barros , 2391",,,2000,36,169,E-W,Rectangular,0.6,210,45,11,"80 - White, 20 Blue",0.2/ 0.8,,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
46,Girassol 34,Faria Lima/ Itaim Bibi,"R. Girassol, 34",,,2000,39,147,NE-SW,Rectangular,0.3,184,46,10,Gray,0.7,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
47,Aquarius - Bloco A,Moema/ Vila Mariana,"Al. dos Maracatins, 992",,,2000,44,40,NW-SE,Rectangular,0.6,200,50,12,Gray ,0.5/ 0.7,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
48,Berkeley Office Center,Moema/ Vila Mariana,"R. Prof. Noé de Azevedo , 208",,,2000,60,2,N-S,Rectangular,0.5,240,40,13,"Red, white",0.7/ 0.2,White,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
49,The Hill Office,Morumbi/ Jardim São Luís,Av. Giovani Gronchi X Dep. J. S. Hirata,Cleide (Gerente Predial) (11) 3771-3406,,2000,27,74,NW-SE,Rectangular,1,187,46.8,6,Ceramic,0.8,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
50,VillaGreen,Morumbi/ Jardim São Luís,"Av. Morumbi, 6901",Juliana (zelador) (11) 3758-0060,,2000,60,100,N-S,Rectangular,0.9,189,68.7,8,Gray,0.7,Red escuro,Clear glass,No,,,,,,,,,Top hung,,,,,?,
51,Esplanada Center,Centro,"R. Vergueiro, 396",,,1999,-,14,E-W,Rectangular,0.5,195,97.5,11,Gray,0.7,Gray,Clear glass,Balcony,,,,,,,,,Pivoted,,,,,Split/ Self contained window unit,
52,Toronto,Chácara Santo Antônio,"R. Alexandre Dumas, 1268",Ademir (recepção) (11) 5182-0930,,1999,43,122,NE-SW,Rectangular,0.7,200,33.3,13,Gray ,0.5/ 0.7,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
53,Alceu Center,Faria Lima/ Itaim Bibi,"R. Alceu de Campos Rodrigues, 275",,,1999,56,76,N-S,Rectangular,0.9,180,45,13,exposed concrete/ Blue,0.7,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
54,Blue Towers,Paulista,"R. Cristiano Viana, 441",,,1999,46,146,NE-SW,Rectangular,0.5,186,31,13,Blue/ Beige,0.7/ 0.4,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
55,Blue Office Tower,Santo Amaro,"Rua Américo Brasiliense, 1765",,,1999,42,122,NE-SW,Rectangular,0.5,143,35.8,13,White/Blue,0.2/ 0.7,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
56,Civic Center,Paulista,"Av. Brigadeiro Luís Antônio, 2533",,,1999,-,41,NW-SE,Rectangular,0.5,159,159,11,White/ Gray,0.2/ 0.8,Gray,Clear glass,Balcony,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
57,Heleno Tower,Alto de Pinheiros/ Perdizes,"R.Turiassu, 127",Tarcizio (portaria) (11) 3826-0240,,1998,33,124,NW-SE,Rectangular,0.4,184,46,14,Dark gray,0.8,Gray claro,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
58,Brickell Avenue,Moema/ Vila Mariana,"R. Pedro de Toledo, 130",,,1998,47,1,N-S,Rectangular,0.6,200,40,12,Beige/ Ceramic,0.4/ 0.8,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
59,Paulo Freire,Barra Funda,"R. Cerro Corá, 550",,,1998,41,12,E-W,Rectangular,1,360,40,2,Green,0.7,Gray,Clear glass,No,,,,,,,,,Sliding,,,,,Split/ Self contained window unit,
60,Pine Offices,Faria Lima/ Itaim Bibi,"Rua Joaquim Antunes , 490",,,1998,58,147,NE-SW,Rectangular,0.4,150,30,11,"exposed concrete/ 
Blue tiles",0.7,Gray/ White,Laminated glass,Balcony (part),,,,,,,,,Sliding/ Top hung,,,,,Split/ Self contained window unit,
61,Itaim Tower - Santa Justina,Faria Lima/ Itaim Bibi,"R. Santa Justina, 352",,,1997,50,74,N-S,T,0.4,246,41,13,Gray/ Blue tiles,0.7,Gray,Clear glass,Balcony,,,,,,,,,Top hung,,,,,?,
62,Campo Belo Trade Center,Tatuapé,"Rua Bernadino de Campos , 318",,,1997,37,131,NE-SW,Rectangular,0.7,180,45,11,Orange/ Gray/ White,0.7/ 0.2,White/Laranja/Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
63,Office Side Park,Zona Leste,"Rua Apucarana , 282",,,1997,-,167,NE-SW,Rectangular,0.1,90,45,8,White,0.2,Gray,Laminated glass,Balcony,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
64,Paulo Raposo,Faria Lima/ Itaim Bibi,"R. Cônego Eugênio Leite, 623",,,1996,-,146,NW-SE,Rectangular,0.3,110,55,4,"Red, white",0.7/ 0.2,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
65,Cedro,Moema/ Vila Mariana,"Av. Moema, 94",,,1996,60,131,NE-SW,T,0.7,200,50,11,"Red, white",0.7/ 0.2,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
66,Itaparica,Barra Funda,"R. Antonio Raposo, 186",,,1995,35,113,NE-SW,Rectangular,0.3,232,58,12,exposed concrete,0.7,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
67,Centro Odonto Médico Paulistano,Faria Lima/ Itaim Bibi,"R. Dr. Alceu de Campos Rodrigues, 247",,,1995,55,76,N-S,Rectangular,0.7,222,55.5,12,Light beige,0.3,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
68,Amira,Moema/ Vila Mariana,"R. Pedro de Toledo, 80",,,1995,53,88,N-S,Rectangular,0.6,240,60,12,Dark gray/ Light beige,0.8/ 0.3,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
69,Pedro Tonelotto,Moema/ Vila Mariana,"R. Cel Arthur de Paula Ferreira, 59",,,1995,43,94,N-S,Rectangular,0.3,188,47,11,Light beige,0.3,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
70,Doctor's Center,Bela Vista,"Rua Barata Ribeiro, 190",,,2001,44,74,NW-SE,Rectangular,0.4,204,34,13,Gray/ Red,0.7,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
71,Plaza Work Center,Jardim Paulista,"Al. Casa Branca, 652",,,1996,-,46,NW-SE,Rectangular,0.6,99,33,9, Green / Blue/ White,0.7/ 0.2,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
72,Center Bureau Pacaembu,Santa Cecília,"Rua Tupi, 397",,,2000,50,26,NW-SE,Rectangular,0.3,200,40,13,Gray,0.7,White/Beige,Clear glass,Balcony,,,,,,,,,Sliding,,,,,Split/ Self contained window unit,
73,Center Ville,Moema,"Rua João Lourenço, 683",,,2000,54,118,NE-SW,Rectangular,0.2,98,49,12,Beige/Green/ Blue,0.4/ 0.7,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
74,Centro Empresarial do Belém,Belém,"Rua Alvaro Ramos, 235",,,1997,37,171,E-W,Rectangular,0.3,160,40,10,Blue/ White,0.7/ 0.2,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
75,Century Offices,Consolação,"Rua Dona Antonia de Queiros, 209",,,2016,-,153,NE-SW,Rectangular,0.1,334,38,11,"Red, White",0.7/ 0.2,Gray,Laminated glass,Balcony,,,,,,,,,Sliding,,,,,Split/ Self contained window unit,
76,Classic Office Itaim,Itaim Bibi,"Rua Pedroso Alvarenga, 584",,,2000,62,73,NW-SE,Rectangular,0.6,128,32,20,Beige,0.4,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
77,Columbia Trade Center,Santana,"Rua Dr. Zurquim, 449",,,1997,-,1,E-W,Rectangular,0.6,140,35,11,Blue/ White,0.7/ 0.2,Dark gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
78,Condominio Edificio Diogo de Faria,Vila Mariana,"Rua Dr. Diogo de Faria, 55",,,1999,46,90,N-S,Rectangular,0.5,208,52,14,White,0.2,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
79,Condomínio Edifício Santa Paula Office Building,Itaim Bibi,"Rua Alvorada, 64",,,1997,55,27,NW-SE,Rectangular,0.7,160,40,13,White,0.2,Dark gray,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
80,Condomínio Edifício Spazio Blu,Vila Sônia,"R. José de Jesus, 16",,,2005,40,56,NW-SE,¼ de Circunferência,0.5,382,64,3,Blue tiles/ Pastilha branca,0.7/ 0.2,Gray,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
81,Dallas Office Center,Saúde,"Av. Fagundes Filho, 191",,,2002,53,85,N-S,Rectangular,0.6,240,30,15,Red/ White,0.7/ 0.2,Gray/ White,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
82,Dallas Office Tower,Tatuapé,"Rua Viléla, 990",,,2015,57,168,E-W,Rectangular,0.4,200,33,10,White/ Blue,0.2/ 0.7,White,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
83,Débora Comercial Building,Pinheiros,"Rua Teodoro Sampaio, 1765",,,1996,36,57,NW-SE,T,0.3,180,45,14,White,0.2,White/Beige,Laminated glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
84,Diederichsen,Jabaquara,"Avenida Diederichsen, 1100",,,2015,32,94,N-S,Rectangular,0.6,234,39,7,White/Beige,0.2/ 0.4,Gray/ White,Clear glass,Balcony,,,,,,,,cross (adjacent facades),Sliding/ Top hung,,,,,?,
85,Dorgan Work Center,Vila Mariana,"Rua Loefgren, 1291",,,1999,47,1,E-W,Rectangular,0.4,172,43,13,Beige,0.4,White,Laminated glass,No,,,,,,,,,Top hung,,,,,?,
86,Doutor Mário Yahn,Cambuci,"Avenida Lins de Vasconcelos, 1609",,,2001,21,169,NW-SE,Rectangular,0.2,84,42,10,White,0.2,White,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
87,Ed. Comendador Joaquim Monteiro,Santana,"Rua Voluntários da Pátria, 2525",,,2007,-,168,NW-SE,Rectangular,0.3,210,42,17,Beige,0.4,White,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
88,Edifício Tucci,Itaim Bibi,"Avenida Morumbi, 8509",,,2013,30,54,NE-SW,Rectangular,0.8,240,60,6,White,0.2,Gray,Clear glass,No,,,,,,,,,Top hung,,,,,Split/ Self contained window unit,
